Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Date,7_Day_Rolling_Average,
3/10/2022,10,CA,31359,72084225,32204,3/17/2021,10178583,
3/10/2022,10,GU,504,335810,366,3/16/2021,10089961,
3/10/2022,10,VT,225,1354247,277,3/15/2021,10010749,
3/10/2022,10,AR,108,4104598,1509,3/14/2021,9899859,
3/10/2022,10,SC,1400,7334159,2166,3/13/2021,9808252,
3/10/2022,10,WY,192,734240,189,3/12/2021,9677214,
3/10/2022,10,VA,6440,15951612,6618,3/11/2021,9481253,
3/10/2022,10,MS,901,3782415,1107,3/10/2021,9285270,
3/10/2022,10,NJ,8460,16662231,8528,3/9/2021,9187177,
3/10/2022,10,OR,2007,7486684,2118,3/8/2021,9168624,
3/10/2022,10,MS,1917,3778600,1610,3/7/2021,9114387,
3/10/2022,10,IL,7279,21903980,7848,3/6/2021,9091764,
3/10/2022,10,KY,3537,6347335,3740,3/5/2021,8915394,
3/10/2022,10,WA,7652,13929146,7200,3/4/2021,8809838,
3/10/2022,10,AR,1295,4111438,1255,3/3/2021,8670428,
3/10/2022,10,MA,6908,14342533,6481,3/2/2021,8427499,
3/10/2022,10,CT,2883,7340813,3012,3/1/2021,8027131,
3/10/2022,10,FM,170,110131,202,2/28/2021,7694332,
3/10/2022,10,OH,5536,17314862,5071,2/27/2021,7441202,
3/10/2022,10,VI,36,140783,38,2/26/2021,7059710,
3/10/2022,10,MP,42,106791,94,2/25/2021,7034282,
3/10/2022,10,AZ,7976,11617378,6815,2/24/2021,6611341,
3/10/2022,10,NE,1152,3095065,1200,2/23/2021,6339919,
3/10/2022,10,ME,1135,2714243,1020,2/22/2021,6276601,
3/10/2022,10,NY,16326,38051819,17044,2/21/2021,6267547,
3/10/2022,10,HI,539,2822233,708,2/20/2021,6373206,
3/10/2022,10,MT,297,1542316,328,2/19/2021,6557583,
3/10/2022,10,AL,1889,6129225,1758,2/18/2021,6372308,
3/10/2022,10,PA,4052,22213925,4733,2/17/2021,6576071,
3/10/2022,10,KS,902,4474322,1204,2/16/2021,6809437,
3/10/2022,10,UT,27,5079891,1377,2/15/2021,6861052,
3/10/2022,10,NM,1503,3794407,1498,2/14/2021,6930374,
3/10/2022,10,MI,4556,15377015,4263,2/13/2021,6870072,
3/10/2022,10,AK,224,1107148,316,2/12/2021,6815555,
3/10/2022,10,US,354781,556252766,297719,2/11/2021,6637115,
3/10/2022,10,CO,5205,10368780,4685,2/10/2021,6542256,
3/10/2022,10,MH,0,57853,277,2/9/2021,6363588,
3/10/2022,10,NV,1732,4759363,1779,2/8/2021,6218607,
3/10/2022,10,FL,9401,36322202,10460,2/7/2021,6135006,
3/10/2022,10,NY,11942,38081133,12557,2/6/2021,5965682,
3/10/2022,10,ND,165,1065651,96,2/5/2021,5739296,
3/10/2022,10,WV,440,2647518,578,2/4/2021,5634932,
3/10/2022,10,CT,3619,7328468,3630,2/3/2021,5582213,
3/10/2022,10,OR,3488,7479579,3015,2/2/2021,5527409,
3/10/2022,10,DC,466,1432385,565,2/1/2021,5590977,
3/10/2022,10,FL,14712,36287516,15299,1/31/2021,5525168,
3/10/2022,10,ND,131,1065336,103,1/30/2021,5441646,
3/10/2022,10,OH,6926,17297241,6691,1/29/2021,5334901,
3/10/2022,10,NH,463,2540275,583,1/28/2021,5217854,
3/10/2022,10,GU,91,337537,71,1/27/2021,4969460,
3/10/2022,10,MP,0,106791,45,1/26/2021,4691198,
3/10/2022,10,US,163964,556850740,183362,1/25/2021,4547627,
3/10/2022,10,NH,17747,2557868,7428,1/24/2021,4315788,
3/10/2022,10,MO,1319,8702980,2389,1/23/2021,4164813,
